[  5 17 21:26:29 2021] tgid,2863, delta_vrun,48318, delta_rrun,48318, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,182715, delta_rrun,182715, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,21755, delta_rrun,21755, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,32407, delta_rrun,54471, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,28338, delta_rrun,124582, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,199147, delta_rrun,199147, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,46832, delta_rrun,46832, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,98183, delta_rrun,98183, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,37513, delta_rrun,37513, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,252073, delta_rrun,254064, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,41946, delta_rrun,41946, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,103887, delta_rrun,105590, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,24968, delta_rrun,24968, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,173446, delta_rrun,176786, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,258483, delta_rrun,258483, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,64540, delta_rrun,64540, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,139445, delta_rrun,139445, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,9537, delta_rrun,9537, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,5685, delta_rrun,5685, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,4063, delta_rrun,4063, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,42892, delta_rrun,42892, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,4952, delta_rrun,4952, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,3785, delta_rrun,3785, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,3027, delta_rrun,3027, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,18176, delta_rrun,18176, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,62809, delta_rrun,62809, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,131748, delta_rrun,131748, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,198212, delta_rrun,198212, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,126676, delta_rrun,126676, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,17603, delta_rrun,17603, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,11056, delta_rrun,11056, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,5234, delta_rrun,5234, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,45305, delta_rrun,45305, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,162808, delta_rrun,162808, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,294851, delta_rrun,294851, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,124932, delta_rrun,124932, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,55823, delta_rrun,55823, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,23192, delta_rrun,128954, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,10510, delta_rrun,10510, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,6081, delta_rrun,6081, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,4002, delta_rrun,4002, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,34287, delta_rrun,34287, prio,120
