5 21 23:50:47 2021] tgid,351, delta_vrun,178, delta_rrun,15490, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,255, delta_rrun,22182, prio,100
5 21 23:50:47 2021] tgid,11, delta_vrun,0, delta_rrun,20945, prio,0
5 21 23:50:47 2021] tgid,15, delta_vrun,0, delta_rrun,20840, prio,0
5 21 23:50:47 2021] tgid,20, delta_vrun,558, delta_rrun,25537, prio,0
5 21 23:50:47 2021] tgid,25, delta_vrun,508, delta_rrun,26189, prio,0
5 21 23:50:47 2021] tgid,1191, delta_vrun,75137, delta_rrun,75137, prio,120
5 21 23:50:48 2021] tgid,351, delta_vrun,1172, delta_rrun,101597, prio,100
5 21 23:50:48 2021] tgid,2146, delta_vrun,72406, delta_rrun,72406, prio,120
5 21 23:50:49 2021] tgid,1191, delta_vrun,59555, delta_rrun,59555, prio,120
5 21 23:50:50 2021] tgid,822, delta_vrun,81935, delta_rrun,81935, prio,120
5 21 23:50:50 2021] tgid,234, delta_vrun,494, delta_rrun,42826, prio,100
5 21 23:50:50 2021] tgid,351, delta_vrun,531, delta_rrun,46076, prio,100
5 21 23:50:50 2021] tgid,234, delta_vrun,1431, delta_rrun,124070, prio,100
5 21 23:50:50 2021] tgid,351, delta_vrun,180, delta_rrun,15640, prio,100
5 21 23:50:51 2021] tgid,234, delta_vrun,745, delta_rrun,64610, prio,100
5 21 23:50:51 2021] tgid,11, delta_vrun,0, delta_rrun,231788, prio,0
5 21 23:50:51 2021] tgid,15, delta_vrun,0, delta_rrun,27185, prio,0
5 21 23:50:51 2021] tgid,20, delta_vrun,558, delta_rrun,42823, prio,0
5 21 23:50:51 2021] tgid,25, delta_vrun,508, delta_rrun,15392, prio,0
5 21 23:50:51 2021] tgid,2231, delta_vrun,36221, delta_rrun,36221, prio,120
5 21 23:50:51 2021] tgid,1378, delta_vrun,13403, delta_rrun,48327, prio,0
5 21 23:50:52 2021] tgid,2146, delta_vrun,112582, delta_rrun,112582, prio,120
5 21 23:50:52 2021] tgid,1191, delta_vrun,82450, delta_rrun,82450, prio,120
5 21 23:50:52 2021] tgid,1191, delta_vrun,48950, delta_rrun,53376, prio,120
5 21 23:50:54 2021] tgid,351, delta_vrun,1242, delta_rrun,107735, prio,100
5 21 23:50:54 2021] tgid,822, delta_vrun,108331, delta_rrun,108331, prio,120
5 21 23:50:55 2021] tgid,11, delta_vrun,0, delta_rrun,27592, prio,0
5 21 23:50:55 2021] tgid,15, delta_vrun,0, delta_rrun,24704, prio,0
5 21 23:50:55 2021] tgid,20, delta_vrun,558, delta_rrun,20166, prio,0
5 21 23:50:55 2021] tgid,25, delta_vrun,508, delta_rrun,11429, prio,0
5 21 23:50:55 2021] tgid,1191, delta_vrun,67407, delta_rrun,67407, prio,120
5 21 23:50:55 2021] tgid,234, delta_vrun,448, delta_rrun,38858, prio,100
5 21 23:50:55 2021] tgid,351, delta_vrun,948, delta_rrun,82237, prio,100
5 21 23:50:55 2021] tgid,234, delta_vrun,899, delta_rrun,77981, prio,100
5 21 23:50:55 2021] tgid,351, delta_vrun,179, delta_rrun,15561, prio,100
5 21 23:50:56 2021] tgid,2146, delta_vrun,254057, delta_rrun,254057, prio,120
5 21 23:50:57 2021] tgid,2186, delta_vrun,11892, delta_rrun,11892, prio,120
5 21 23:50:57 2021] tgid,1191, delta_vrun,66543, delta_rrun,66543, prio,120
5 21 23:50:58 2021] tgid,2231, delta_vrun,71916, delta_rrun,71916, prio,120
5 21 23:50:58 2021] tgid,822, delta_vrun,104506, delta_rrun,104506, prio,120
5 21 23:50:58 2021] tgid,1191, delta_vrun,81803, delta_rrun,81803, prio,120
5 21 23:50:58 2021] tgid,1378, delta_vrun,13403, delta_rrun,47924, prio,0
5 21 23:50:59 2021] tgid,11, delta_vrun,0, delta_rrun,21876, prio,0
5 21 23:50:59 2021] tgid,15, delta_vrun,0, delta_rrun,105785, prio,0
5 21 23:50:59 2021] tgid,20, delta_vrun,558, delta_rrun,28244, prio,0
5 21 23:50:59 2021] tgid,25, delta_vrun,508, delta_rrun,27961, prio,0
5 21 23:50:59 2021] tgid,2231, delta_vrun,10787, delta_rrun,10787, prio,120
5 21 23:51:00 2021] tgid,2146, delta_vrun,181434, delta_rrun,181434, prio,120
5 21 23:51:00 2021] tgid,2231, delta_vrun,15734, delta_rrun,15734, prio,120
5 21 23:51:00 2021] tgid,234, delta_vrun,416, delta_rrun,36140, prio,100
5 21 23:51:00 2021] tgid,351, delta_vrun,1400, delta_rrun,121422, prio,100
5 21 23:51:00 2021] tgid,234, delta_vrun,1829, delta_rrun,158600, prio,100
5 21 23:51:00 2021] tgid,351, delta_vrun,177, delta_rrun,15346, prio,100
5 21 23:51:01 2021] tgid,234, delta_vrun,1168, delta_rrun,101302, prio,100
5 21 23:51:01 2021] tgid,351, delta_vrun,1052, delta_rrun,91203, prio,100
